filing_date,form,accession,primary_document,url
2023-03-10,5/A,0000899243-23-008177,xslF345X03/doc5a.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924323008177/xslF345X03/doc5a.xml
2023-02-14,SC 13G/A,0001193125-23-039293,d436196dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312523039293/d436196dsc13ga.htm
2023-02-14,5,0000899243-23-004992,xslF345X03/doc5.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924323004992/xslF345X03/doc5.xml
2022-12-14,4,0000899243-22-038522,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322038522/xslF345X03/doc4.xml
2022-11-08,4,0000899243-22-035394,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322035394/xslF345X03/doc4.xml
2022-11-08,4,0000899243-22-035393,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322035393/xslF345X03/doc4.xml
2022-11-08,4,0000899243-22-035390,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322035390/xslF345X03/doc4.xml
2022-10-31,SC 13D/A,0001104659-22-113051,tm2229215d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922113051/tm2229215d1_sc13da.htm
2022-10-04,SC 13D/A,0001104659-22-105787,tm2227435d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922105787/tm2227435d1_sc13da.htm
2022-09-09,SC 13D/A,0001104659-22-098972,tm2225585d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922098972/tm2225585d1_sc13da.htm
2022-08-30,SC 13D/A,0001104659-22-095765,tm2224790d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922095765/tm2224790d1_sc13da.htm
2022-08-09,4,0000899243-22-028189,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322028189/xslF345X03/doc4.xml
2022-08-09,4,0000899243-22-028188,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322028188/xslF345X03/doc4.xml
2022-08-09,4,0000899243-22-028184,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322028184/xslF345X03/doc4.xml
2022-08-09,4,0000899243-22-028181,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322028181/xslF345X03/doc4.xml
2022-08-09,4,0000899243-22-028176,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322028176/xslF345X03/doc4.xml
2022-08-09,4,0000899243-22-028174,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322028174/xslF345X03/doc4.xml
